department_name,avg_course_grade,num_enrollments
Mathematics,53.7,211
Economics,52.0,217
Geology,51.9,232
English Language,51.9,241
Agricultural Engineering,51.7,342
Agricultural Economics,51.7,363
Statistics,51.6,221
Information and Communication Technology,51.5,212
Psychology,51.4,226
Civil Engineering,51.4,230
Educational Foundations,51.2,205
Guidance and Counselling,51.2,227
Marketing,51.1,228
Banking and Finance,50.9,239
Business Administration,50.7,218
Chemistry,50.6,201
Physics,50.3,205
Animal Science,50.1,214
Pharmacy,50.1,201
Mechanical Engineering,50.1,235
Mass Communication,50.0,222
Medical Laboratory Science,50.0,297
International Law,49.9,222
Curriculum Studies,49.9,222
Biochemistry,49.9,220
Public and Private Law,49.9,244
Forestry and Wildlife,49.8,232
Religious Studies,49.7,217
Crop Science,49.7,228
Commercial and Property Law,49.7,281
Urban and Regional Planning,49.6,218
Accounting,49.6,195
Public Health,49.6,272
Architecture,49.5,192
Medicine and Surgery,49.4,283
Quantity Surveying,49.4,213
Computer Science,49.3,291
Soil Science,49.2,229
Chemical Engineering,49.2,222
Sociology,49.1,206
Microbiology,48.7,213
Public Administration,48.3,302
Electrical/Electronic Engineering,48.2,190
Petroleum Engineering,48.1,208
Nursing Science,47.9,247
Estate Management,47.8,215
History and International Studies,47.6,196
Linguistics,47.5,184
Theatre Arts,47.2,234
Vocational and Technical Education,46.7,207
Political Science,45.8,225
