department_name,num_students,num_staff,student_staff_ratio
Electrical/Electronic Engineering,39,1,39.0
Information and Communication Technology,38,1,38.0
Physics,31,1,31.0
International Law,44,2,22.0
Pharmacy,47,3,15.7
Sociology,46,3,15.3
Statistics,41,3,13.7
Estate Management,51,4,12.8
Computer Science,38,3,12.7
Public and Private Law,60,5,12.0
Agricultural Engineering,43,4,10.8
Political Science,43,4,10.8
Forestry and Wildlife,39,4,9.8
Chemistry,38,4,9.5
Educational Foundations,34,4,8.5
Accounting,42,5,8.4
Psychology,42,5,8.4
Religious Studies,40,5,8.0
Medicine and Surgery,46,6,7.7
Architecture,38,5,7.6
Geology,30,4,7.5
Soil Science,44,6,7.3
Crop Science,36,5,7.2
Guidance and Counselling,36,5,7.2
Mathematics,34,5,6.8
Chemical Engineering,47,7,6.7
Urban and Regional Planning,40,6,6.7
Nursing Science,46,7,6.6
Medical Laboratory Science,45,7,6.4
Petroleum Engineering,38,6,6.3
Public Administration,37,6,6.2
Mechanical Engineering,36,6,6.0
Economics,35,6,5.8
Public Health,34,6,5.7
History and International Studies,44,8,5.5
Vocational and Technical Education,47,9,5.2
Quantity Surveying,30,6,5.0
Mass Communication,35,7,5.0
Marketing,30,6,5.0
Animal Science,44,9,4.9
Biochemistry,39,8,4.9
Theatre Arts,29,6,4.8
English Language,41,9,4.6
Curriculum Studies,41,9,4.6
Commercial and Property Law,37,8,4.6
Banking and Finance,44,10,4.4
Linguistics,34,10,3.4
Agricultural Economics,32,10,3.2
Civil Engineering,35,11,3.2
Business Administration,27,9,3.0
Microbiology,33,11,3.0
